"","time","mean","conf.low","conf.high"
"1",1,334.640463772234,267.4464381318,415.19365931001
"2",2,453.546002296031,373.613808920114,545.96595373118
"3",3,553.523516622038,451.080211507416,669.671693638603
"4",4,645.089769633166,535.415269638213,773.893554635235
"5",5,705.87288985695,584.729540175734,842.453356068848
"6",6,729.278091867906,594.218125716347,878.43857241189
"7",7,695.353126288235,568.016673602241,838.900888744264
"8",8,680.213146841352,564.177919023284,817.451502046589
"9",9,688.305776677929,567.22535304055,831.391900275658
"10",10,677.604408029983,562.35035615923,821.45422288115
"11",11,648.563206184092,540.751782455739,778.057141611741
"12",12,642.610593306797,531.599620180176,777.27283549935
"13",13,781.342202874143,640.035374739197,941.536341715645
"14",14,767.093015841888,633.621311899391,936.356645453465
"15",15,573.449876501019,473.126159941695,690.582051398411
"16",16,495.887279083017,399.621396642395,603.114881943541
"17",17,462.00627659105,377.853200194514,560.639616232646
"18",18,435.534333695936,352.958903924408,536.673711388626
"19",19,411.54059600316,332.876208379373,501.360451832162
"20",20,373.898940751952,297.422020622777,464.136797171157
"21",21,328.628531825044,263.591206601605,410.494577674709
"22",22,306.859128905013,242.510137984394,380.173088800414
"23",23,313.255796190373,249.157284648887,394.918872513808
"24",24,324.224076104603,259.976662183697,397.392644777466
"25",25,380.155122845579,305.284427658107,467.820936238372
"26",26,451.501082149428,367.711693108936,544.846545508181
"27",27,451.348390904507,366.560994278998,550.688234458424
"28",28,436.100394590778,347.204265447213,530.083980852937
"29",29,438.864982050547,354.043849153136,524.507076811719
"30",30,424.402649062371,342.79539341059,514.835078510564
"31",31,381.087478012836,303.131555843079,466.543645722832
"32",32,359.431653049863,284.448982526081,441.445195252925
"33",33,383.94156439261,306.020195460654,469.537718132903
"34",34,438.148052002373,352.200859641307,535.206059019449
"35",35,488.906887629919,402.712379945817,590.10325889703
"36",36,542.473849793575,443.819991635753,659.447069576643
"37",37,550.9658359925,451.478076951569,664.837862052035
"38",38,548.15645211819,445.545502850187,665.88214794706
"39",39,545.882280224352,442.184683590986,664.427436178578
"40",40,510.76220777922,418.222862385929,615.767038951069
"41",41,471.320857657459,384.196105302695,573.949444293036
"42",42,427.505893885356,348.204653444719,525.048132181142
"43",43,412.404305230797,333.98604616709,502.861375633763
"44",44,394.601024929269,320.271857786354,482.746296375492
"45",45,375.77563715217,303.720284799474,464.439402658952
"46",46,371.137209125631,299.330779539346,451.448884638678
"47",47,346.57480684184,280.061515918648,425.688315061389
"48",48,358.752088979385,285.477447920353,441.232260556553
"49",49,385.848030297294,310.5588930613,477.48663853762
"50",50,358.804215991521,288.727754644447,440.711352998111
"51",51,339.266683380747,272.597844462781,417.420340855537
"52",52,331.027040228994,262.13449468066,410.951061238453
"53",53,339.875271966253,270.756064222392,423.79227664523
"54",54,360.800275296799,289.171608177643,441.072597541571
"55",55,387.68271573696,313.092761043487,477.095782599015
"56",56,417.359664405203,340.527622221926,510.558484915147
"57",57,449.959909452654,367.394984778055,546.307260286409
"58",58,518.51853474977,428.382526934221,621.98794833111
"59",59,556.48210061717,459.816310504697,670.057899664457
"60",60,516.535264903971,424.754714694007,623.821811276495
"61",61,501.650376514504,412.803228788658,604.115931400631
"62",62,499.585543994154,413.672961546894,610.526115383371
"63",63,517.271616331894,430.025636119127,625.350001353612
"64",64,522.367238045773,428.810544761984,632.740558288139
"65",65,507.236586738772,413.264226328756,610.856062576206
"66",66,539.032681530379,441.391788132527,655.723281368393
"67",67,574.676055306714,468.759851610565,700.35778850306
"68",68,583.903826369553,478.760812020825,705.620403043845
"69",69,588.281773714297,482.981009445301,712.098057231823
"70",70,595.32507411553,496.362392246501,715.54203461518
"71",71,593.355571202882,485.264548324716,712.643850703588
"72",72,590.339716965517,478.367714029842,715.739150925228
"73",73,567.668887511319,471.833477806513,687.475355797383
"74",74,518.352362500791,421.742456685794,634.819940932555
"75",75,494.049866231157,402.54439010247,599.55585107137
"76",76,492.828614510939,400.509760601262,600.856339590129
"77",77,479.711376501598,396.04954294903,580.447174303135
"78",78,462.556714365874,371.868010290367,564.40135098438
"79",79,473.510878762366,383.153778358446,578.726318010099
"80",80,520.429185740413,424.611680759992,633.952265958009
"81",81,502.443004758496,412.205242622882,602.196557271943
"82",82,477.691323796927,389.977516825761,571.357896485935
"83",83,475.490597443878,387.452398099605,577.548290969699
"84",84,460.188882857784,375.969866683983,553.450318291081
"85",85,459.841451902193,371.88891538574,555.869194163654
"86",86,465.929195324229,381.064868810245,566.096821836991
"87",87,509.495148404908,415.804476739125,615.056697387951
"88",88,511.101470240757,417.355398510646,624.319899169139
"89",89,518.584593623522,426.965709504122,621.250707256602
"90",90,548.051703723326,443.444197793553,660.904935043145
"91",91,490.635665272737,404.701075291603,590.874924522001
"92",92,447.104890251712,365.078608771612,544.382651455474
"93",93,435.272104481889,352.166566299684,528.8559724864
"94",94,369.705507512065,295.037640771873,450.928282217259
"95",95,314.561378118201,248.907418924584,391.859155828391
"96",96,282.476978056079,223.359360510537,351.821279640074
"97",97,265.907528233197,204.978881371573,328.25714462989
"98",98,274.864259262785,218.837163086378,343.93869142785
"99",99,270.731284119306,210.754660339928,339.677652752691
"100",100,257.689437886024,200.179767371657,324.319658182983
