clusterGeomorphIndex,count,mean,std,min,25%,50%,75%,max
1,79.0,3.797983094723954,1.4468205237525014,0.7323678937132266,2.9278224119827234,3.7232808808312687,4.535283914772422,7.640123172695364
10,78.0,6.287120128494101,1.359096608184341,3.106826321059578,5.279386926607384,6.44683661104138,7.343579072440294,8.793308627496552
11,76.0,6.226300898376247,1.2458634619393858,3.8743211382441345,5.065618512028777,6.527953642784674,7.118801793848934,8.776475789346321
12,79.0,6.696786480837453,1.2872973450108336,2.6946271807700692,5.928587263202375,6.873163834212518,7.729674948557854,9.014325488050225
13,77.0,7.112172664457719,1.0853543704488926,3.696351468952637,6.248042874508429,7.102499355774649,8.06777619577889,8.781862489558945
14,80.0,7.685043913977334,1.1543190805666337,3.5931942039795284,6.888429756846805,8.007965013098506,8.432168744601244,9.615805480084347
15,74.0,8.820399249045664,1.557569900413942,4.0439280763080845,8.066887023170356,8.937204636626038,9.91310021756812,11.648330101976432
16,223.0,4.952360043629925,2.2723423006059784,0.26236426446749106,3.202746442938317,4.432006566978902,6.453944197621778,11.55214617812351
2,78.0,4.602147161167184,1.3500557068982504,1.5085119938441398,3.619996672478134,4.497073803936869,5.47746779552348,7.355641102974253
3,75.0,4.87348513950423,1.3638756879630296,0.9102726595485922,4.059906158825028,4.7535901911063645,5.816100360023274,8.997147151515142
4,81.0,5.016238255672065,1.260787705895551,2.517696472610991,4.1728476237100445,4.990432586778736,5.648974238161206,9.164296433474776
5,84.0,4.942238066286863,1.3066192106310461,1.199964782928397,4.191559248500882,4.911328517310789,5.852858528662148,8.554488976159934
6,82.0,5.45278347047174,1.3158260169376124,2.681021528714291,4.4697637404138355,5.350615603474141,6.188632884492215,9.417354541360508
7,80.0,5.590694122710816,1.1905420288471336,2.1488509930520037,4.840027959123027,5.422742508376844,6.629997003086934,7.67786350067821
8,83.0,5.618468375589682,1.337220271401519,1.545432582458188,4.878999622893761,5.523458920524919,6.580817044653825,8.144679183447758
9,80.0,5.680720279658304,1.2104789902439976,2.4159137783010487,4.770684624465665,5.7745322557930505,6.632391168668434,7.8632667240095735
