clusterGeomorphIndex,count,mean,std,min,25%,50%,75%,max
1,79.0,-0.9197096565309101,0.7541790338403294,-2.32687778556309,-1.3717909761523663,-1.0351994008180487,-0.6123912889140894,1.4993615901137485
10,78.0,-0.017670077059263926,0.8108980036410272,-1.638497382840799,-0.779515320155808,0.13008715245349478,0.6210515045494532,1.7088741344062157
11,76.0,-0.07518396728705558,0.7646740678226412,-1.809169822174158,-0.7262573348509879,-0.07180951984613129,0.4408039895422475,1.7651165993140567
12,79.0,0.09848433953771694,0.7195047631064789,-1.6225491917691837,-0.4343803878288768,0.15467964043202784,0.6340455950245857,1.3273161105629558
13,77.0,0.28566085842463573,0.6903959037421139,-1.6494789619712842,-0.2243767057028396,0.29939208796704264,0.7999467524453922,1.6397493538999075
14,80.0,0.5867829548537805,0.6643919442731081,-0.8324478199557132,0.10345012247362681,0.5790445541987415,1.0255402026202238,2.1022125045545224
15,74.0,1.202253730947514,0.8459271995848702,-0.9242342864416702,0.6486383733863287,1.4861194796588173,1.7995964123006898,3.3093586468915843
16,223.0,-0.5782087178269869,1.1326427924206595,-2.3795818490536584,-1.439702547375397,-0.9747895577315351,0.4050849881898649,2.57181674850101
2,78.0,-0.5873652181734584,0.719470145384594,-1.7885160039884942,-1.1113001196688597,-0.7387788114909395,0.005389131853110256,1.0457130841875575
3,75.0,-0.5974757399415282,0.7518365605206742,-2.0549440700794483,-1.0962327764226394,-0.759250143189005,-0.0901604125399207,1.7933028999514609
4,81.0,-0.5626777623442485,0.6992781574946482,-1.8924251405816734,-1.0325509827508346,-0.7143582065915818,-0.29534236497168365,1.7253768563072196
5,84.0,-0.6647539375925371,0.699865238485929,-2.057110918164539,-1.1206018461752252,-0.8341521331313317,-0.32435119786305505,1.1278114433603719
6,82.0,-0.37358649831775587,0.7711954644956371,-1.9472054320166547,-0.922747257980394,-0.6290326535637516,0.11506053347899077,1.8278333672522358
7,80.0,-0.3098921231902998,0.6992173496401296,-1.9156820027459407,-0.8626202522813644,-0.4717235136803678,0.3378210811918694,1.1746829843103368
8,83.0,-0.3778933745585644,0.6654576672274524,-1.5149192916211955,-0.852775236441612,-0.5475408363335923,0.1702317428177067,1.449780646158872
9,80.0,-0.3659577240923936,0.6625921394607892,-1.7305299883589376,-0.8841338628018385,-0.4803572908077427,0.1265466317779005,1.2600329450337817
