clusterGeomorphIndex,count,mean,std,min,25%,50%,75%,max
1,79.0,2.350904052665384,0.7493306660966843,0.3166338944015487,1.8425851669120714,2.476118143754921,2.881546724851344,4.0110535288911
10,78.0,3.9434817372494457,0.6545938841475798,2.3960754360813845,3.581059884419103,4.00269678840423,4.450019900417896,5.100415057787059
11,76.0,3.9399037085493562,0.5887442182467213,2.2891705185721842,3.4782758482570477,4.031559141904728,4.38992203515551,5.372171735118517
12,79.0,4.2511350637407315,0.7286611698129675,2.252974592440711,3.7902287166634467,4.357733942104837,4.7069441535829615,5.86007371898257
13,77.0,4.469594195780515,0.5410043520917632,2.994606640266481,4.105861322349767,4.436574003812613,4.932853916576225,5.521860837883573
14,80.0,4.74393225602403,0.6805463567715211,1.8523056565960399,4.343818709130276,4.921166637191394,5.181547405121285,5.749870578848956
15,74.0,5.272558325256449,0.8894307660171664,2.585317435719913,4.67084654010653,5.287893051464792,5.872601093833206,7.0067858024450915
16,223.0,3.1564940583453573,1.2677417441958132,-0.12273276538229713,2.278292400425001,3.032064202801381,3.9274390689989103,6.917259965996383
2,78.0,2.829710488162804,0.7386627995263672,0.8140364978353987,2.40258711331591,2.864001064945709,3.2522491397038404,4.410978456623649
3,75.0,3.1135827894981523,0.7088086963948267,0.48965305853318974,2.7245795030534206,3.1030159387736655,3.4968691730962225,4.833579846974801
4,81.0,3.225444518890452,0.6684134271660896,1.3775058550868113,2.8015405441895487,3.2493080319884027,3.6000482404073204,5.094823244521281
5,84.0,3.2491492373929627,0.685742752688876,0.7440779092284884,2.926978099110904,3.2841789641916694,3.7075925559932306,5.02916259871014
6,82.0,3.4551228193741257,0.6304826700978599,2.0706530356467567,3.0201151625296143,3.371669039159463,3.834786847463713,5.216130695560089
7,80.0,3.546528572801777,0.5650433120352537,1.7303272297095538,3.13899103931054,3.568278730005077,3.980087184758724,4.536141599577656
8,83.0,3.637396036492783,0.8129536207850024,0.4219944100593749,3.328294912302034,3.664586761544892,4.1207138995567245,5.091077921791119
9,80.0,3.6849878830507548,0.691368629337298,1.756995476791715,3.2870361381475757,3.6839223844536413,4.174434830074514,5.195218181043716
