cluster,count,mean,std,min,25%,50%,75%,max
-1,66.0,-2.81721417841987,1.801400901542155,-5.7873515598058525,-4.097111695509057,-2.9805657934982692,-1.4845879598590401,1.9304739091461691
0,1224.0,-3.4218724851233073,1.1371361849795782,-6.678294271634838,-4.20961776248297,-3.293181606080402,-2.6901603544876846,-0.025491811571813305
1,23.0,-3.662617767728382,1.1073628905552615,-5.933075927357,-4.1346327660441204,-3.7053889594091443,-3.2067371532336564,-1.681204648923616
2,11.0,-0.8829574988987902,0.6794659877058103,-1.8818322884460543,-1.3329484183173101,-0.7353568578403268,-0.5374598262046741,0.5014413523461971
3,25.0,-3.2997580066313787,0.8859030423474514,-4.865235716587332,-3.9722013603455992,-3.1561476548679126,-2.9006470293022035,-1.270558783835872
4,6.0,-3.994132139516823,1.3115108636988848,-5.661908144793292,-4.965683592859341,-3.9517906702998715,-2.8357824630374817,-2.631875724045385
5,22.0,-3.344802762110665,1.0960489481425078,-5.4281563197306975,-3.840528738981414,-3.40637625146345,-2.470113138378647,-1.5409882875752257
6,32.0,-3.0407103615633377,0.9251515569859079,-5.577638217361672,-3.541025260891624,-3.1216791627040426,-2.4871930080875724,-0.3777975587156472
