site_no,logchan_width,clusterGeomorphIndex
1103280.0,2.7245795030534206,3
1104200.0,3.08922261664133,3
1104500.0,3.339765142143654,5
1104615.0,3.717831276063704,2
1109730.0,2.758014279139658,3
1111212.0,3.208239458746642,4
1112500.0,3.574730432423031,7
1113895.0,3.747030430755966,5
1123360.0,2.8015405441895487,4
1123600.0,2.7443821303496003,9
1124000.0,3.2433732964685884,6
1124151.0,2.9714395809849465,5
1127000.0,3.664586761544892,8
1129500.0,4.1596640283427435,11
1131500.0,4.816443564731814,9
1138500.0,4.301494223781961,8
1144500.0,4.9083810600575,14
1154500.0,4.730105361783089,15
1170500.0,4.9967053885627575,13
1172003.0,3.566146688731639,16
1172010.0,5.389026066673499,13
1184000.0,5.73026210746058,14
1197500.0,3.4375293109095457,4
1198125.0,3.5832411220909393,4
1199000.0,3.8097687713893897,11
1200500.0,4.1596640283427435,10
1200600.0,3.8751515306522415,11
1205500.0,4.1596640283427435,13
1312000.0,3.2192757448895275,5
1318500.0,4.602516668522528,8
1327750.0,4.9117537445361386,13
1336000.0,3.3664333892258154,6
1350101.0,3.466516847782798,16
1350180.0,2.482507941853692,16
1350355.0,3.3123661679555396,16
1351500.0,4.110873864173311,16
1357500.0,3.7103962975761857,16
1358000.0,5.659499637210654,16
1378690.0,1.9906103279732201,1
1379000.0,2.6411978941143697,2
1379700.0,2.476118143754921,1
1379845.0,2.4683960976610106,3
1380500.0,2.872999508171694,4
1381000.0,2.7828484111773966,2
1381900.0,3.802989084404011,3
1382000.0,4.349890764643811,4
1382170.0,2.246543702110421,1
1382500.0,2.21375387928743,2
1382800.0,2.422122145019485,2
1389005.0,4.384710529803039,4
1389492.0,3.0610517396746335,4
1389500.0,3.5574886259885243,7
1389802.0,3.323416004142125,14
1389890.0,4.723353141665802,6
1421610.0,1.3541584910898201,2
1423000.0,3.3499830315268464,5
1427207.0,4.267877612982976,10
1427510.0,5.195218181043716,9
1428500.0,4.623697490601975,8
1438500.0,5.091077921791119,8
1440200.0,5.303280032127782,12
1446500.0,5.100415057787059,10
1447500.0,3.2433732964685884,3
1447800.0,3.836437018471551,6
1449000.0,3.54875494601977,9
1451000.0,4.788907406923208,9
1454700.0,4.447346100794524,11
1457500.0,4.943782987108415,16
1463500.0,5.86007371898257,12
1467470.0,1.9843407149596248,2
1467471.0,1.9801390281059248,5
1468500.0,3.3769046890931107,6
1470500.0,4.085556056189021,5
1471510.0,4.407267877227114,10
1472000.0,4.492729106642342,7
1474500.0,4.4789831857377065,9
1498620.0,3.8097687713893897,11
1500500.0,4.048998460455223,10
1513831.0,5.297191733260527,14
1533400.0,5.521860837883573,13
1536500.0,5.407653718085453,14
1538700.0,5.73026210746058,14
1540500.0,5.73026210746058,14
1541200.0,3.8751515306522415,2
1542500.0,4.755355872751975,9
1545800.0,5.40285754582196,12
1551500.0,5.4165003222257475,12
1554000.0,6.540091608100723,15
1570500.0,6.720943656915318,15
1571820.0,2.7245795030534206,3
1572025.0,3.1692653243148663,6
1572190.0,3.5130368634176907,3
1573000.0,3.485385332087181,8
1573560.0,3.8495091000389037,7
1581649.0,2.2070648911366333,1
1595800.0,3.7823697972012753,3
1598500.0,3.6000482404073204,7
1600000.0,3.5574886259885243,9
1610000.0,4.301494223781961,9
1613000.0,4.670489652108734,15
1638500.0,5.6423502351377,14
1646500.0,3.754198920234579,16
2016500.0,3.8495091000389037,8
2019500.0,4.353820042783701,8
2024752.0,4.695878886113554,9
2025500.0,4.605570106009418,11
2026000.0,5.092015568367082,12
2029000.0,5.087318518867213,10
2035000.0,5.2677550609653965,12
2037000.0,2.890093941530994,1
2054500.0,3.466516847782798,4
2054530.0,3.3343450746743146,4
2055000.0,3.5574886259885243,5
2056000.0,2.986943767520912,6
2060500.0,4.0957602263632635,9
2068500.0,3.2433732964685884,3
2069000.0,3.6488384045767526,7
2071000.0,3.7823697972012753,9
2076000.0,4.085556056189021,13
2080500.0,5.274024673978992,13
2081022.0,4.516338972281476,16
2081500.0,2.704376795735901,2
2081747.0,3.2008136820497923,5
2082506.0,3.466516847782798,4
2082585.0,3.6165775423585313,5
2083500.0,4.105861322349767,8
2084000.0,4.125762476667062,7
2087500.0,3.7103962975761857,5
2088383.0,2.4799569200620866,1
2091814.0,4.45623504821177,16
2101726.0,2.246543702110421,1
2109500.0,3.5789948312094886,2
2110704.0,4.130676491469491,6
2111000.0,2.550226115908643,1
2115360.0,4.241902126579715,12
2124742.0,3.7325374234533992,5
2126000.0,4.120824195026479,15
2129000.0,5.148496881214991,13
2130561.0,4.440177611315912,12
2131000.0,4.635602393108293,16
2131010.0,4.617691466541763,13
2151500.0,4.347920320656512,12
2153200.0,4.403543478136132,8
2153551.0,5.172130366297652,9
2156409.0,4.380901001386372,9
2156500.0,4.695878886113554,11
2161000.0,5.046967223343646,10
2162500.0,3.664586761544892,4
2163001.0,3.717831276063704,4
2163500.0,3.7398101827824792,6
2167000.0,3.829836334440199,6
2168504.0,4.353820042783701,6
2187910.0,2.6837575085331657,3
2197000.0,4.726059503263545,12
2197320.0,4.596381679955012,13
2200120.0,3.3079118176061595,3
2201230.0,3.8624125048748117,16
2202040.0,3.687753820826426,7
2202190.0,3.8559816145445214,16
2202680.0,4.373238128640803,4
2203600.0,0.8207705300167427,1
2203603.0,1.6690267038457578,1
2203655.0,2.025414250167912,1
2203900.0,2.837908188360424,2
2204070.0,3.4521281103306984,3
2204520.0,3.761316388003443,2
2206500.0,2.7828484111773966,2
2207120.0,3.130044611161585,2
2207300.0,3.1366891538802535,4
2207335.0,3.032064202801381,4
2208000.0,3.531055368920369,5
2210500.0,4.454463568563388,8
2212735.0,4.596381679955012,6
2213000.0,4.361632582520494,9
2215000.0,4.11586140568435,16
2215500.0,4.499531853965094,16
2218300.0,3.6723689019869465,7
2223000.0,4.388505600771591,10
2223056.0,3.918501971525855,9
2223248.0,4.005513348515485,11
2223500.0,4.25063580654847,12
2224500.0,4.580877493419047,16
2232000.0,4.313814708170002,16
2234000.0,4.56354057376577,16
2234010.0,4.811493059571958,3
2234440.0,4.46153073578648,4
2234500.0,5.02916259871014,5
2236000.0,4.629667657588479,6
2294655.0,2.6001494246752435,2
2294775.0,3.3123661679555396,1
2294898.0,2.9069010598473755,16
2295637.0,3.08922261664133,2
2296750.0,3.789290240045849,3
2301988.0,2.2416932479766714,16
2301990.0,2.3389170222414357,16
2302010.0,2.476118143754921,1
2303000.0,3.0022112396517002,2
2304000.0,4.29735343111593,6
2310800.0,1.5851452198650557,16
2311500.0,2.6837575085331657,1
2312000.0,2.8015405441895487,16
2312300.0,2.9283363405674403,1
2312500.0,3.4107020686764016,2
2312558.0,3.836437018471551,2
2312598.0,4.330009394089982,16
2312600.0,4.330009394089982,2
2312720.0,4.410978456623649,2
2312722.0,4.502915951949335,16
2312762.0,4.080414656688602,2
