clusterGeomorphIndex,count,mean,std,min,25%,50%,75%,max
1,79.0,0.22056985322935696,0.09462531872379833,0.009634045071272523,0.14965960250329663,0.227633913547162,0.3021655958083644,0.40148569464483447
10,78.0,0.17006284913103584,0.1041201800683554,0.013954247105918305,0.08503897818369273,0.1444407703058752,0.24435900991450465,0.4324974037147654
11,76.0,0.1785392697186779,0.09992719446471202,0.019210794766380976,0.09607032747872506,0.17992570783233924,0.2474843780470976,0.40412590524369507
12,79.0,0.162815385887025,0.09873129305782113,0.010974071295441812,0.07704942632102113,0.1510492540380865,0.2288092643264913,0.4132636585552678
13,77.0,0.14160636046738087,0.09928259626666852,0.016252381649133715,0.06550656178200506,0.10729486469386362,0.2053417942240634,0.36170133502881446
14,80.0,0.13118074340280947,0.07578126587434947,0.017584833930377464,0.06761297638252808,0.12572012780807693,0.18389488556554318,0.3283433933807936
15,74.0,0.13586748626584327,0.09125205112938035,0.00487216714698166,0.06472722716083569,0.11794032592533832,0.20678772824452246,0.3480327653691392
16,223.0,0.3920517957730889,0.11218058273621867,0.029379248404228286,0.3538661912165013,0.4042571959669976,0.45413751914258116,0.7737575849787723
2,78.0,0.2364822347748435,0.10398650642911476,0.009206384945674134,0.1807800974919731,0.24121913040839324,0.3160528314474107,0.450546257174127
3,75.0,0.1935125970645002,0.11023124367616682,0.010378625883424558,0.08816715873117154,0.2048972936585913,0.2655472216081886,0.4428970589745236
4,81.0,0.19688677642658983,0.10391066543397315,0.009840309831925492,0.10822472251517583,0.20445156723364477,0.2725414847480755,0.4274906680199469
5,84.0,0.18831966477499107,0.10125967678724893,0.00018235682734213388,0.10397747498260951,0.1928876558987307,0.2589303593370481,0.41570370816238944
6,82.0,0.17278490272489858,0.09851199054354216,0.00890919518654086,0.07910658852878459,0.18826384617674208,0.24222624261833947,0.3887882088418301
7,80.0,0.2066012350508654,0.09792089084563078,0.025751931530509337,0.14190171783776007,0.21164690157248894,0.26185031270971737,0.42285369884036905
8,83.0,0.18776753423730913,0.09625660003031815,0.00570388403586336,0.11641531855744629,0.176051924346388,0.26387033314683095,0.41859220952527365
9,80.0,0.18039704219308128,0.10008351911765621,0.017018126515663007,0.11228389276654333,0.16498933648315678,0.239215221632278,0.3974203179850484
