"","x"
"1",196.192973564323
"2",137.168403726248
"3",132.82563665461
"4",150.17107114061
"5",140.678191189933
"6",131.85750593383
"7",128.875199061182
"8",127.722134517489
"9",127.931569833329
"10",127.505014396244
"11",127.789915966387
"12",126.557366813522
"13",124.282319495305
"14",125.224211886827
"15",125.67740953677
"16",123.140284662474
"17",121.337480024789
"18",119.940593513521
"19",119.695795670996
"20",119.094124977981
"21",119.292638311551
"22",117.395250902264
"23",119.690127861611
"24",124.899475127712
"25",135.38069784645
"26",216.26902196867
"27",176.433943535837
"28",150.136425674473
"29",138.933532021398
"30",134.811889484526
"31",131.793262585738
"32",130.122514395788
"33",128.574742725347
"34",127.913506273542
"35",127.261802792906
"36",124.828813780709
"37",125.697484372048
"38",126.498023295939
"39",130.18807885834
"40",131.871294749245
"41",144.924610965898
"42",141.701327507295
"43",136.149743778072
"44",164.113698476771
"45",174.456236477908
"46",200.07930655192
"47",331.331202861542
"48",954.363661810479
"49",1227.9630541539
"50",929.177968977933
"51",364.644244706576
"52",249.435144040751
"53",212.05863174877
"54",455.044262206779
"55",807.562446178602
"56",745.641823225113
"57",428.507242761947
"58",348.637107408046
"59",298.769930275375
"60",250.681569612087
"61",348.97457064747
"62",1113.84009977958
"63",825.695953824319
"64",523.006249302093
"65",446.076669569098
"66",329.539734525703
"67",275.593403997141
"68",247.058149383051
"69",225.976947605813
"70",210.118150241185
"71",197.54563513494
"72",190.231443407418
"73",183.875119954583
"74",179.76292483724
"75",178.513513229704
"76",197.049052137531
"77",316.439976334959
"78",231.043752739649
"79",206.257596564908
"80",198.005297786211
"81",194.252226372882
"82",190.652858016142
"83",186.697259161781
"84",178.602223734955
"85",172.503297956889
"86",169.293190484222
"87",168.943440096821
"88",169.472172684284
"89",170.477447627627
"90",166.672624991763
"91",158.127138256515
"92",150.821428808004
"93",171.788929435678
"94",167.609371715529
"95",163.573817072323
"96",161.766399812894
"97",160.162624132899
"98",158.105281144142
"99",161.159372021836
"100",175.58467446143
"101",186.428113690259
"102",188.982430510034
"103",182.700658948754
"104",176.635253637851
"105",171.232924594276
"106",169.967191835222
"107",165.48428154026
"108",153.915838512714
"109",157.142569370035
"110",163.727412576474
"111",160.432716355568
"112",157.560034769307
"113",156.517190549755
"114",161.162626009257
"115",163.215859513724
"116",164.031092641788
"117",162.030521412918
"118",161.806195251512
"119",164.975249079026
"120",164.990418017347
"121",170.351009114548
"122",178.633407113878
"123",212.886759090681
"124",259.100707494754
"125",286.260686993181
"126",372.471227695953
"127",358.044362337754
"128",290.849245728634
"129",246.848548850026
"130",221.255723999003
"131",208.255942708188
"132",194.556075900781
"133",184.858764127952
"134",178.210173028195
"135",173.868403813503
