"","x"
"1",471
"2",512.076401667684
"3",747.488325098384
"4",652.374903831349
"5",595.445468721316
"6",672.223934063664
"7",663.941224420593
"8",615.824555897708
"9",558.719847599879
"10",537.656845740551
"11",502.135025159055
"12",476.356984424308
"13",481.736398516701
"14",724.411714986786
"15",1161.00175526037
"16",1415.48528210431
"17",1452.32485185489
"18",1020.72402503668
"19",880.923803430896
"20",846.414878313119
"21",895.210245602391
"22",1107.35572967942
"23",982.876043926698
"24",857.750842080959
"25",675.27651875487
"26",593.487989857405
"27",695.739198889923
"28",701.250323621591
"29",709.393882405499
"30",675.177831544075
"31",601.205953018186
"32",664.19622310308
"33",651.906278322655
"34",628.75961991016
"35",576.144584937052
"36",539.480665096952
"37",538.893332381332
"38",821.87650277631
"39",1370.43624731868
"40",1169.04538387085
"41",1027.20976271641
"42",970.977343989655
"43",850.683851877494
"44",798.633972725645
"45",714.645967472583
"46",762.6870642926
"47",537.25692634316
"48",552.785286342164
"49",512.606944255184
"50",587.20645732721
"51",630.110365936253
"52",759.084879183622
"53",723.655245697944
"54",643.330129829232
"55",686.959225940955
"56",635.066432011225
"57",716.466293017673
"58",688.999219028336
"59",671.632825111444
"60",612.540938395979
"61",679.547125282665
"62",698.104665465753
"63",668.261654488715
"64",696.996254941659
"65",731.086846509647
"66",659.861824492749
"67",596.219679685447
"68",525.348140135264
"69",600.038959097155
"70",616.888595802147
"71",545.823709085888
"72",600.555248929685
"73",566.085719049942
"74",550.242064000807
"75",425.404892967438
"76",445.586770775973
"77",419.961899064636
"78",420.524066199453
"79",433.242428915336
"80",428.368622760107
"81",383.237435968955
"82",456.193982684768
"83",562.192371431398
"84",425.475477996441
"85",428.248750164782
"86",516.988383820444
"87",599.290829018983
"88",650.21640205815
"89",555.334715790803
"90",600.148364821726
"91",804.594133852111
"92",888.322840009487
"93",1007.6757937629
"94",841.617368680481
"95",770.041518561196
"96",794.626064022008
"97",638.929957673585
"98",649.169040429758
"99",659.014488783167
"100",807.200930836919
"101",673.162299549422
"102",540.571295651101
"103",415.699963251957
"104",559.302964448139
"105",612.440873327258
"106",532.723789037018
"107",475.731958819878
"108",453.106906734844
"109",441.774273251072
"110",338.367908125648
"111",405.518006067317
"112",366.913900001448
"113",381.328627044732
"114",457.779948501486
"115",532.269507344638
"116",465.172794984452
"117",392.055712956758
"118",379.25575838155
"119",386.569023003631
"120",396.479614183024
"121",411.026525223818
"122",392.031113979802
"123",486.346909647875
"124",478.502702144496
"125",509.752812297909
"126",1560.66902051139
"127",1624.23566294608
"128",1438.81334167373
"129",1062.51050595439
"130",795.989461975938
"131",862.253819674103
"132",1007.93815154747
"133",998.322548319295
"134",1176.19410795898
"135",1065.97190148382
"136",929.402092034642
"137",826.040988958778
"138",741.042890818799
"139",665.341893697102
"140",660.307038205364
"141",601.484670086542
"142",579.733668558281
"143",552.541551945249
"144",490.826190367279
"145",452.815466935666
"146",458.607111302044
"147",523.432539896176
"148",548.2652057058
"149",509.965801367228
"150",499.41097992133
"151",419.512075097315
"152",410.773882399163
"153",479.398587178054
"154",504.543711649603
"155",470.843897864844
"156",426.252725305187
"157",419.866996863798
"158",375.346948692276
"159",354.361567084088
"160",351.786497252835
"161",498.512373230585
"162",647.450649797979
"163",791.813711668192
"164",741.873242358117
"165",537.847955814012
"166",499.802418949788
"167",667.699151601025
"168",677.385259471678
"169",786.773096486396
"170",728.097606462126
"171",581.198001925254
"172",739.919716623818
"173",783.062773058073
"174",614.472917693843
"175",518.807349996664
"176",449.49274704116
"177",433.86966643165
"178",380.257758132345
"179",341.527008997525
"180",317.376462849979
"181",333.184947428475
"182",326.594246295619
"183",315.01430132191
"184",285.342423036278
"185",303.381951428044
"186",286.92416721346
"187",269.224959646443
"188",260.310499322317
"189",241.285716630025
"190",239.847408583884
"191",232.551748487847
"192",292.350600613962
"193",232.200257195891
"194",175.795977491351
"195",173.53029675824
"196",189.829137532887
"197",177.453117685976
"198",158.621350870355
"199",154.692620916632
"200",147.889233211709
"201",119.82448415462
"202",110.094567287442
"203",111.074599615905
"204",158.055897377381
"205",226.812815109269
"206",268.290712380674
"207",218.38386913239
"208",160.383077720964
"209",161.32664248632
"210",143.821379451361
"211",129.458777287457
"212",119.34552968796
"213",96.6950512694104
"214",109.439122337944
"215",130.146117172356
"216",177.740357160054
"217",167.10202326436
"218",163.730442427572
"219",146.56381880812
"220",144.628348060988
"221",121.846665337953
"222",102.08527336224
"223",98.415904442858
"224",97.4911631528406
"225",91.5059031727328
"226",88.0676969287596
"227",104.044307929151
"228",121.394271865474
"229",128.674210658254
"230",113.39374662212
"231",105.316682183654
"232",88.3410158931757
"233",88.7722512703977
"234",91.5340722173162
"235",101.516808110983
"236",93.5058222144043
"237",85.7467160534266
"238",95.6503167203836
"239",81.9323745584125
"240",88.3996619956226
"241",85.2874479355099
"242",99.1370245337472
"243",95.3589497444216
"244",125.77627415593
"245",100.644989100746
"246",84.2941860433024
"247",82.0181069619594
"248",81.9704591953169
"249",97.9180904424739
"250",99.3514185733209
"251",135.885800183807
"252",162.507941485483
"253",155.543384658408
"254",127.508787029407
"255",131.452687946629
"256",114.52447884135
"257",105.5732478285
"258",104.575909693446
"259",98.893655229301
"260",101.242067452925
"261",144.188058175194
"262",136.67439942205
"263",121.654512354604
"264",122.392275433268
"265",104.314545815057
"266",87.8164541280228
"267",98.2696575084377
"268",136.324010160792
"269",141.408312835026
"270",149.497742312126
"271",153.127126845761
"272",137.671430837644
"273",163.934855079682
"274",176.551736612804
"275",158.803183653743
"276",142.390007550106
"277",131.66710807305
"278",115.401031933572
"279",142.82721674107
"280",292.423344577983
"281",195.690880094303
"282",178.772929904974
"283",167.861077473426
"284",150.213152514573
"285",337.181497541873
"286",484.465018831301
"287",317.135054323724
"288",263.935302327958
"289",264.818259720698
"290",233.221580746268
"291",190.785030760375
"292",170.534896135849
"293",232.325479677052
"294",265.309565438727
"295",282.985827716031
"296",256.659312730753
"297",280.360061237884
"298",226.06633194422
"299",226.00543829424
"300",269.508454837705
"301",339.210698854155
"302",241.820545588314
"303",204.046267353631
"304",243.019488693736
"305",191.449675051482
"306",239.891755705718
"307",534.743995052464
"308",662.619660860418
"309",439.909395239665
"310",381.96146408552
"311",337.464156351801
"312",266.638125759607
"313",279.807442586428
"314",377.386079522935
"315",590.210641735706
"316",654.029247586854
"317",614.738142537463
"318",755.008499444467
"319",744.662988989851
"320",559.835577591141
"321",669.799617853261
"322",757.374212104804
"323",780.793312736868
"324",708.145154595841
"325",665.386066701976
"326",615.992464183455
"327",628.510486413703
"328",734.310777545175
"329",680.390761078927
"330",683.628390211915
"331",686.408418786022
"332",700.003839748395
"333",556.921238765795
"334",517.099981665347
"335",553.880305612228
"336",570.652430633046
"337",531.41004300819
"338",539.80721920383
"339",589.960919557549
"340",553.096193149676
"341",502.87366574079
"342",659.824817000436
"343",720.006764622059
"344",725.567615509822
"345",608.736145164443
"346",586.022811483343
"347",552.80238601572
"348",430.486141740092
"349",459.859100778992
"350",548.549177033832
"351",584.279796044618
"352",592.565463681455
"353",530.5821269036
"354",443.437719598979
"355",434.643741765799
"356",523.836107985996
"357",435.030768960842
"358",499.699931752051
"359",1385.36285327095
"360",1191.89304082394
"361",807.20550487001
"362",665.358562867367
"363",771.155019932281
"364",679.009301455922
"365",526.561983046938
