"","RRMSE","NRMSE","NSE","rBIAS","river","Type"
"1",0.661425515978707,0.605502378162368,0.437286209971667,-0.243650766747662,"Connecticut.csv","BAM_control"
"2",0.587400766495426,0.317105901400398,0.833934072910593,-0.179519455289454,"Cumberland.csv","BAM_control"
"3",1.23082782146909,0.437114277907028,0.831522834050011,0.271224159162085,"Ganges.csv","BAM_control"
"4",0.850011951523616,0.277513488410769,0.794672088057949,0.213314182464598,"GaronneDownstream.csv","BAM_control"
"5",0.510273830814055,0.785189822467252,-0.260906654834899,-0.569170664448015,"GaronneUpstream.csv","BAM_control"
"6",0.405261179631633,0.489462288227527,0.454313608351874,-0.409447178997359,"Kanawha.csv","BAM_control"
"7",0.433030213419383,0.391134547593734,-0.253659852613469,-0.387913985206021,"MississippiDownstream.csv","BAM_control"
"8",0.303626737907812,0.357524000819582,-0.0463497503495744,-0.316763865010541,"MississippiUpstream.csv","BAM_control"
"9",0.195761062318217,0.360896210233716,0.789102512228923,-0.238263169426458,"Ohio.csv","BAM_control"
"10",1.53710987578767,0.773332246701407,-0.464432403663662,0.734307173643833,"Platte.csv","BAM_control"
"11",0.296526577636845,0.513021140639592,0.689169694080635,-0.338815197705737,"Po.csv","BAM_control"
"12",0.489914964687598,0.854965718560438,-0.744667791073069,0.55576257080051,"SacramentoDownstream.csv","BAM_control"
"13",1.19416211052382,0.977781661709215,-1.4722118606566,0.934831939410486,"SacramentoUpstream.csv","BAM_control"
"14",0.126560497163063,0.233242797043418,0.848927548327345,-0.145572359600358,"Seine.csv","BAM_control"
"15",1.69035067916117,0.423179179459393,0.839101512852125,0.25745450245876,"Severn.csv","BAM_control"
"16",0.198216989941815,0.191875143656704,-2.20391180662968,0.0972353217889178,"StLawrenceDownstream.csv","BAM_control"
"17",0.154689073911962,0.15734268145865,-1.15444896708749,-0.154583237195184,"StLawrenceUpstream.csv","BAM_control"
"18",0.722504127091454,0.729840153746467,-24.4079600108536,-0.722401215791564,"Tanana.csv","BAM_control"
"19",0.37518162862292,0.596633344424957,0.160547041365133,0.019075679949481,"Wabash.csv","BAM_control"
"20",0.420020968684612,0.432371105451336,0.713074479504603,0.362110043670787,"Connecticut.csv","geoBAM_unsupervised"
"21",0.495187780251162,0.183772769540536,0.944225689983217,-0.128993798951133,"Cumberland.csv","geoBAM_unsupervised"
"22",0.655615315558112,0.595318608713855,0.687500030291472,0.482598986885938,"Ganges.csv","geoBAM_unsupervised"
"23",0.798996159440583,0.311373459706425,0.741510455195431,0.297525600919385,"GaronneDownstream.csv","geoBAM_unsupervised"
"24",0.191435963425713,0.220600226075643,0.900471944368058,-0.184843164268555,"GaronneUpstream.csv","geoBAM_unsupervised"
"25",0.41871696926882,0.470631997956144,0.495492585124541,-0.408619722771323,"Kanawha.csv","geoBAM_unsupervised"
"26",0.363489988940488,0.36133754300342,-0.0699254982216491,-0.349814592728602,"MississippiDownstream.csv","geoBAM_unsupervised"
"27",0.300275488794386,0.331801317725279,0.0987968837872157,-0.306150977056408,"MississippiUpstream.csv","geoBAM_unsupervised"
"28",0.124331000407651,0.244637489173919,0.903093527571802,-0.144886195306782,"Ohio.csv","geoBAM_unsupervised"
"29",3.78502519569749,0.844874129474371,-0.747918238831054,0.837358170244929,"Platte.csv","geoBAM_unsupervised"
"30",0.224356678909048,0.543433817138747,0.651224353093934,-0.213745570478274,"Po.csv","geoBAM_unsupervised"
"31",0.542372433533605,0.530333358304537,0.328705279279614,0.493738993930086,"SacramentoDownstream.csv","geoBAM_unsupervised"
"32",1.03169899991941,0.977720307926219,-1.4719016179978,0.933906678596205,"SacramentoUpstream.csv","geoBAM_unsupervised"
"33",0.113731702550369,0.166886227013165,0.922658999144738,-0.125753707562372,"Seine.csv","geoBAM_unsupervised"
"34",1.78112590787523,0.502694325698534,0.772955313583207,0.493279683964691,"Severn.csv","geoBAM_unsupervised"
"35",0.150952385610259,0.155665126310004,-1.10875329239675,0.055698648150763,"StLawrenceDownstream.csv","geoBAM_unsupervised"
"36",0.180468910183053,0.178179583023652,-1.76286072888365,-0.177306642114421,"StLawrenceUpstream.csv","geoBAM_unsupervised"
"37",0.694405324691928,0.692237532500204,-21.8572814442913,-0.688943068859204,"Tanana.csv","geoBAM_unsupervised"
"38",0.376472122456977,0.530244719839583,0.336968706799222,-0.0331976086879674,"Wabash.csv","geoBAM_unsupervised"
"39",0.420112885280799,0.430351762454171,0.715748330823259,0.361011983978126,"Connecticut.csv","geoBAM_expert"
"40",0.503317133078884,0.169186181339842,0.952728251990428,-0.116648239585682,"Cumberland.csv","geoBAM_expert"
"41",0.667832360993369,0.591186133809867,0.691823483535233,0.483361250440781,"Ganges.csv","geoBAM_expert"
"42",0.770717453058566,0.295030738513435,0.767932496575865,0.279199332555056,"GaronneDownstream.csv","geoBAM_expert"
"43",0.187234050350737,0.217821424454526,0.902963572064495,-0.181824112950193,"GaronneUpstream.csv","geoBAM_expert"
"44",0.423496083153708,0.476878791200144,0.482010845138151,-0.413631033381258,"Kanawha.csv","geoBAM_expert"
"45",0.354340873501971,0.328792110794596,0.114129703356648,-0.324317019912494,"MississippiDownstream.csv","geoBAM_expert"
"46",0.301863450401383,0.332825881560967,0.0932226702113709,-0.307460930305147,"MississippiUpstream.csv","geoBAM_expert"
"47",0.103628877271387,0.191096633247844,0.940869325270604,-0.0984056526474342,"Ohio.csv","geoBAM_expert"
"48",4.10526694532458,0.908662778255178,-1.0218203653244,0.90039839644562,"Platte.csv","geoBAM_expert"
